iter	Passed	Remaining
0	1	112
1	2	124
2	3	122
3	5	121
4	6	119
5	7	114
6	8	109
7	9	103
8	9	98
9	10	93
10	11	89
11	11	86
12	12	83
13	13	80
14	13	78
15	14	76
16	15	74
17	16	74
18	17	73
19	18	72
20	19	71
21	19	70
22	20	70
23	21	69
24	22	68
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	30	61
33	31	60
34	31	59
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	38	52
42	39	52
43	40	51
44	40	50
45	41	48
46	42	47
47	43	46
48	44	45
49	45	45
50	45	44
51	46	43
52	47	42
53	48	41
54	49	40
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	58	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	77	9
89	78	8
90	79	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	84	2
97	85	1
98	86	0
99	87	0
