iter	Passed	Remaining
0	157	157472
1	159	79399
2	160	53342
3	161	40237
4	162	32358
5	163	27105
6	164	23350
7	165	20546
8	166	18354
9	167	16602
10	169	15242
11	171	14079
12	172	13072
13	173	12192
14	173	11421
15	174	10744
16	175	10150
17	176	9638
18	177	9178
19	178	8757
20	179	8376
21	180	8029
22	181	7719
23	184	7502
24	185	7246
25	186	7004
26	188	6784
27	189	6573
28	190	6373
29	191	6186
30	192	6010
31	193	5846
32	194	5695
33	195	5568
34	198	5472
35	200	5359
36	201	5234
37	202	5122
38	203	5010
39	204	4903
40	205	4807
41	206	4719
42	207	4626
43	209	4554
44	213	4525
45	214	4445
46	215	4369
47	216	4295
48	217	4224
49	218	4153
50	219	4083
51	220	4017
52	221	3952
53	222	3890
54	223	3836
55	225	3808
56	227	3761
57	228	3711
58	229	3666
59	231	3623
60	232	3578
61	233	3531
62	234	3486
63	235	3442
64	236	3401
65	237	3367
66	239	3337
67	241	3306
68	242	3270
69	243	3234
70	244	3198
71	245	3162
72	246	3126
73	247	3093
74	248	3060
75	249	3027
76	249	2995
77	250	2964
78	251	2935
79	253	2914
80	254	2892
81	256	2868
82	256	2835
83	257	2808
84	258	2782
85	259	2756
86	260	2732
87	261	2707
88	262	2682
89	262	2658
90	263	2635
91	264	2612
92	265	2591
93	266	2572
94	268	2562
95	270	2545
96	271	2525
97	272	2505
98	273	2485
99	274	2467
100	275	2448
101	275	2429
102	276	2410
103	277	2391
104	278	2375
105	279	2358
106	280	2342
107	282	2335
108	284	2322
109	285	2307
110	286	2291
111	287	2275
112	287	2259
113	288	2244
114	289	2228
115	290	2213
116	291	2196
117	292	2183
118	293	2170
119	294	2157
120	295	2144
121	295	2130
122	297	2121
123	298	2110
124	299	2097
125	300	2085
126	301	2072
127	302	2059
128	303	2047
129	304	2035
130	305	2023
131	305	2011
132	306	1999
133	307	1988
134	308	1977
135	309	1965
136	310	1958
137	312	1950
138	313	1941
139	314	1931
140	315	1921
141	315	1908
142	316	1898
143	317	1888
144	318	1877
145	319	1867
146	320	1858
147	321	1849
148	322	1839
149	323	1830
150	323	1820
151	324	1813
152	326	1809
153	328	1802
154	329	1794
155	330	1785
156	330	1776
157	331	1767
158	332	1759
159	333	1750
160	334	1741
161	334	1732
162	335	1724
163	336	1715
164	337	1707
165	338	1699
166	339	1691
167	340	1686
168	341	1679
169	342	1672
170	343	1665
171	344	1657
172	345	1650
173	346	1643
174	347	1637
175	348	1630
176	349	1623
177	349	1616
178	350	1608
179	351	1601
180	352	1595
181	353	1588
182	354	1582
183	356	1578
184	357	1573
185	358	1567
186	359	1561
187	359	1554
188	360	1548
189	361	1542
190	362	1536
191	363	1529
192	364	1523
193	365	1517
194	366	1511
195	367	1506
196	368	1501
197	370	1499
198	372	1497
199	373	1493
200	374	1489
201	375	1484
202	376	1479
203	378	1475
204	379	1470
205	380	1465
206	381	1460
207	382	1455
208	383	1450
209	384	1446
210	385	1442
211	386	1438
212	387	1433
213	388	1427
214	389	1423
215	391	1419
216	392	1414
217	392	1409
218	393	1404
219	394	1399
220	395	1394
221	396	1388
222	397	1383
223	398	1379
224	399	1377
225	401	1374
226	402	1371
227	403	1366
228	404	1362
229	405	1357
230	406	1352
231	407	1347
232	408	1343
233	408	1338
234	409	1333
235	410	1329
236	411	1324
237	412	1319
238	413	1317
239	415	1314
240	416	1312
241	417	1307
242	418	1303
243	419	1299
244	420	1294
245	420	1290
246	421	1286
247	422	1281
248	423	1277
249	424	1273
250	425	1268
251	426	1264
252	426	1260
253	428	1257
254	429	1254
255	430	1251
256	431	1248
257	432	1244
258	433	1240
259	434	1236
260	435	1232
261	436	1228
262	437	1224
263	437	1221
264	438	1217
265	439	1213
266	440	1209
267	441	1205
268	442	1201
269	443	1200
270	445	1198
271	446	1195
272	447	1191
273	448	1188
274	449	1184
275	450	1180
276	450	1176
277	451	1173
278	452	1169
279	453	1165
280	454	1162
281	455	1158
282	455	1155
283	457	1153
284	458	1151
285	459	1148
286	460	1144
287	461	1141
288	462	1138
289	463	1134
290	464	1132
291	466	1131
292	467	1128
293	468	1125
294	469	1122
295	470	1119
296	471	1115
297	473	1114
298	474	1113
299	475	1110
300	476	1107
301	477	1104
302	478	1101
303	479	1098
304	480	1095
305	481	1092
306	483	1090
307	484	1088
308	485	1085
309	487	1084
310	489	1083
311	490	1081
312	491	1078
313	492	1076
314	493	1073
315	494	1070
316	495	1068
317	497	1065
318	498	1064
319	499	1062
320	501	1060
321	503	1059
322	504	1057
323	505	1055
324	506	1052
325	507	1049
326	508	1046
327	509	1044
328	510	1041
329	511	1039
330	513	1037
331	514	1035
332	516	1033
333	517	1031
334	518	1029
335	519	1026
336	520	1023
337	521	1020
338	522	1018
339	523	1015
340	523	1012
341	524	1009
342	525	1007
343	526	1004
344	527	1001
345	528	998
346	529	996
347	530	993
348	532	992
349	533	990
350	534	988
351	535	985
352	536	983
353	537	981
354	538	978
355	539	976
356	540	974
357	542	972
358	543	970
359	545	970
360	547	969
361	549	968
362	550	966
363	551	963
364	552	961
365	553	958
366	554	956
367	555	954
368	556	951
369	557	949
370	559	949
371	561	947
372	562	945
373	563	943
374	564	940
375	565	938
376	566	936
377	567	934
378	568	932
379	569	929
380	570	927
381	571	925
382	573	923
383	574	921
384	576	920
385	577	918
386	578	917
387	580	915
388	581	913
389	582	911
390	584	910
391	586	909
392	587	907
393	588	905
394	590	904
395	592	903
396	593	901
397	594	899
398	595	897
399	597	895
400	598	893
401	599	891
402	600	889
403	601	886
404	602	884
405	603	883
406	605	882
407	607	881
408	609	880
409	610	877
410	611	875
411	612	873
412	612	871
413	613	868
414	614	866
415	615	864
416	616	862
417	618	860
418	619	859
419	621	858
420	622	856
421	623	854
422	624	852
423	625	850
424	626	847
425	627	845
426	628	843
427	629	841
428	630	838
429	631	836
430	632	834
431	634	834
432	635	832
433	637	831
434	638	828
435	639	827
436	640	825
437	641	823
438	642	820
439	643	818
440	644	816
441	644	814
442	645	812
443	647	811
444	649	809
445	651	808
446	652	807
447	653	805
448	654	803
449	655	801
450	656	798
451	657	796
452	658	794
453	659	792
454	659	790
455	661	788
456	663	788
457	665	787
458	667	786
459	668	784
460	669	782
461	670	781
462	672	779
463	673	777
